"year","url_host_name","url_host_registered_domain","warc_filename","url","warc_record_offset","warc_record_length","ranking"
"2021","www.guntrader.uk","guntrader.uk","crawl-data/CC-MAIN-2021-39/segments/1631780057973.90/warc/CC-MAIN-20210926205414-20210926235414-00385.warc.gz","https://www.guntrader.uk/?f=16&t=22403","790986330","12713","1"
"2019","www.tide-and-time.uk","tide-and-time.uk","crawl-data/CC-MAIN-2019-04/segments/1547583897417.81/warc/CC-MAIN-20190123044447-20190123070447-00445.warc.gz","http://www.tide-and-time.uk/","392703998","7561","1"
"2018","www.royal.uk","royal.uk","crawl-data/CC-MAIN-2018-09/segments/1518891812938.85/warc/CC-MAIN-20180220110011-20180220130011-00749.warc.gz","https://www.royal.uk/?ch=1","961926547","9490","1"
"2018","www.catherineallen.uk","catherineallen.uk","crawl-data/CC-MAIN-2018-05/segments/1516084892802.73/warc/CC-MAIN-20180123231023-20180124011023-00795.warc.gz","https://www.catherineallen.uk/","899734853","7105","1"
"2018","www.davidlough.uk","davidlough.uk","crawl-data/CC-MAIN-2018-05/segments/1516084891886.70/warc/CC-MAIN-20180123091931-20180123111931-00306.warc.gz","http://www.davidlough.uk/","428806599","6326","1"
"2018","www.manchesterwheelers.uk","manchesterwheelers.uk","crawl-data/CC-MAIN-2018-05/segments/1516084889677.76/warc/CC-MAIN-20180120162254-20180120182254-00626.warc.gz","http://www.manchesterwheelers.uk/","499022489","13216","1"
"2018","www.toptrumptargets.uk","toptrumptargets.uk","crawl-data/CC-MAIN-2018-30/segments/1531676591543.63/warc/CC-MAIN-20180720061052-20180720081052-00577.warc.gz","https://www.toptrumptargets.uk/","987242544","11445","1"
"2020","www.davidlough.uk","davidlough.uk","crawl-data/CC-MAIN-2020-05/segments/1579250613416.54/warc/CC-MAIN-20200123191130-20200123220130-00337.warc.gz","https://www.davidlough.uk/","816273719","7512","1"
"2017","www.sophiaengland.uk","sophiaengland.uk","crawl-data/CC-MAIN-2017-22/segments/1495463609817.29/warc/CC-MAIN-20170528120617-20170528140617-00224.warc.gz","http://www.sophiaengland.uk/","805417018","30740","1"
"2017","www.bebras.uk","bebras.uk","crawl-data/CC-MAIN-2017-04/segments/1484560281151.11/warc/CC-MAIN-20170116095121-00318-ip-10-171-10-70.ec2.internal.warc.gz","http://www.bebras.uk/","352264061","8022","1"
"2020","www.rjbsoftware.uk","rjbsoftware.uk","crawl-data/CC-MAIN-2020-05/segments/1579251773463.72/warc/CC-MAIN-20200128030221-20200128060221-00053.warc.gz","https://www.rjbsoftware.uk/","1046557649","2775","1"
