crawl,url_host_name,url_host_registered_domain,warc_filename,url,warc_record_offset,warc_record_length,ranking,year
CC-MAIN-2016-50,www.olbia.it,olbia.it,crawl-data/CC-MAIN-2016-50/segments/1480698541220.56/warc/CC-MAIN-20161202170901-00011-ip-10-31-129-80.ec2.internal.warc.gz,http://www.olbia.it/,617883697,41764,1,2016
CC-MAIN-2016-50,www.hochkofler.at,hochkofler.at,crawl-data/CC-MAIN-2016-50/segments/1480698542932.99/warc/CC-MAIN-20161202170902-00473-ip-10-31-129-80.ec2.internal.warc.gz,http://www.hochkofler.at/,498558206,10361,1,2016
CC-MAIN-2016-44,www.lindtchocoladenclub.de,lindtchocoladenclub.de,crawl-data/CC-MAIN-2016-44/segments/1476988718285.69/warc/CC-MAIN-20161020183838-00378-ip-10-171-6-4.ec2.internal.warc.gz,https://www.lindtchocoladenclub.de/,958000510,6784,1,2016
CC-MAIN-2016-22,www.horst-working.de,horst-working.de,crawl-data/CC-MAIN-2016-22/segments/1464049276759.73/warc/CC-MAIN-20160524002116-00029-ip-10-185-217-139.ec2.internal.warc.gz,http://www.horst-working.de/,589303211,40058,1,2016
CC-MAIN-2016-50,www.fidula.de,fidula.de,crawl-data/CC-MAIN-2016-50/segments/1480698541140.30/warc/CC-MAIN-20161202170901-00337-ip-10-31-129-80.ec2.internal.warc.gz,http://www.fidula.de/,462752026,13096,1,2016
CC-MAIN-2016-44,www.idaplus.fr,idaplus.fr,crawl-data/CC-MAIN-2016-44/segments/1476988720760.76/warc/CC-MAIN-20161020183840-00291-ip-10-171-6-4.ec2.internal.warc.gz,http://www.idaplus.fr/,504978469,6278,1,2016
CC-MAIN-2016-44,www.ga-eagles.nl,ga-eagles.nl,crawl-data/CC-MAIN-2016-44/segments/1476988721174.97/warc/CC-MAIN-20161020183841-00290-ip-10-171-6-4.ec2.internal.warc.gz,http://www.ga-eagles.nl/,462543251,17233,1,2016
CC-MAIN-2016-30,www.ekologicka-likvidace-vozidla.cz,ekologicka-likvidace-vozidla.cz,crawl-data/CC-MAIN-2016-30/segments/1469257824201.56/warc/CC-MAIN-20160723071024-00028-ip-10-185-27-174.ec2.internal.warc.gz,http://www.ekologicka-likvidace-vozidla.cz/,421953634,10991,1,2016
CC-MAIN-2016-44,www.benoit-et-moi.fr,benoit-et-moi.fr,crawl-data/CC-MAIN-2016-44/segments/1476988720615.90/warc/CC-MAIN-20161020183840-00345-ip-10-171-6-4.ec2.internal.warc.gz,http://www.benoit-et-moi.fr/,331896578,2172,1,2016
CC-MAIN-2016-30,www.schminkwebshop.nl,schminkwebshop.nl,crawl-data/CC-MAIN-2016-30/segments/1469257823989.0/warc/CC-MAIN-20160723071023-00133-ip-10-185-27-174.ec2.internal.warc.gz,https://www.schminkwebshop.nl/,939977313,13589,1,2016
CC-MAIN-2016-18,www.cooperativedesign.fr,cooperativedesign.fr,crawl-data/CC-MAIN-2016-18/segments/1461860111324.43/warc/CC-MAIN-20160428161511-00154-ip-10-239-7-51.ec2.internal.warc.gz,http://www.cooperativedesign.fr/,443273584,13796,1,2016
CC-MAIN-2016-26,www.gedebe.it,gedebe.it,crawl-data/CC-MAIN-2016-26/segments/1466783391519.0/warc/CC-MAIN-20160624154951-00072-ip-10-164-35-72.ec2.internal.warc.gz,http://www.gedebe.it/,553194495,9279,1,2016
CC-MAIN-2016-36,www.hookemacdonald.ie,hookemacdonald.ie,crawl-data/CC-MAIN-2016-36/segments/1471982937576.65/warc/CC-MAIN-20160823200857-00038-ip-10-153-172-175.ec2.internal.warc.gz,http://www.hookemacdonald.ie/,494722826,14647,1,2016
CC-MAIN-2016-40,www.olivers.dk,olivers.dk,crawl-data/CC-MAIN-2016-40/segments/1474738661768.10/warc/CC-MAIN-20160924173741-00026-ip-10-143-35-109.ec2.internal.warc.gz,http://www.olivers.dk/,673736183,24827,1,2016
CC-MAIN-2016-44,www.suchmaschinenoptimierung.at,suchmaschinenoptimierung.at,crawl-data/CC-MAIN-2016-44/segments/1476988719192.24/warc/CC-MAIN-20161020183839-00052-ip-10-171-6-4.ec2.internal.warc.gz,http://www.suchmaschinenoptimierung.at/,730105913,15297,1,2016
CC-MAIN-2016-26,www.gosports.at,gosports.at,crawl-data/CC-MAIN-2016-26/segments/1466783395613.65/warc/CC-MAIN-20160624154955-00147-ip-10-164-35-72.ec2.internal.warc.gz,http://www.gosports.at/,572377342,9251,1,2016
CC-MAIN-2016-18,www.marington.nl,marington.nl,crawl-data/CC-MAIN-2016-18/segments/1461860116587.6/warc/CC-MAIN-20160428161516-00117-ip-10-239-7-51.ec2.internal.warc.gz,https://www.marington.nl/,1030621488,11513,1,2016
CC-MAIN-2016-07,www.redirect301.de,redirect301.de,crawl-data/CC-MAIN-2016-07/segments/1454701167599.48/warc/CC-MAIN-20160205193927-00295-ip-10-236-182-209.ec2.internal.warc.gz,http://www.redirect301.de/,644201413,9385,1,2016
CC-MAIN-2016-30,www.princessinhans.de,princessinhans.de,crawl-data/CC-MAIN-2016-30/segments/1469257824133.26/warc/CC-MAIN-20160723071024-00058-ip-10-185-27-174.ec2.internal.warc.gz,http://www.princessinhans.de/,664992242,7070,1,2016
CC-MAIN-2016-36,www.saint-pierre-de-curtille.fr,saint-pierre-de-curtille.fr,crawl-data/CC-MAIN-2016-36/segments/1471982953863.79/warc/CC-MAIN-20160823200913-00125-ip-10-153-172-175.ec2.internal.warc.gz,http://www.saint-pierre-de-curtille.fr/,676566779,7215,1,2016
CC-MAIN-2016-40,www.dragonsbusinessclub.nl,dragonsbusinessclub.nl,crawl-data/CC-MAIN-2016-40/segments/1474738661781.17/warc/CC-MAIN-20160924173741-00213-ip-10-143-35-109.ec2.internal.warc.gz,http://www.dragonsbusinessclub.nl/,433099239,19705,1,2016
CC-MAIN-2016-36,www.vgfszaklap.hu,vgfszaklap.hu,crawl-data/CC-MAIN-2016-36/segments/1471982292151.8/warc/CC-MAIN-20160823195812-00156-ip-10-153-172-175.ec2.internal.warc.gz,http://www.vgfszaklap.hu/?option=com_k2&view=itemlist&task=user&id=1644,778880963,10616,1,2016
CC-MAIN-2016-22,www.reisefuchsforum.de,reisefuchsforum.de,crawl-data/CC-MAIN-2016-22/segments/1464049281978.84/warc/CC-MAIN-20160524002121-00168-ip-10-185-217-139.ec2.internal.warc.gz,http://www.reisefuchsforum.de/,782132767,16141,1,2016
CC-MAIN-2016-22,www.kieser-training.at,kieser-training.at,crawl-data/CC-MAIN-2016-22/segments/1464049276964.77/warc/CC-MAIN-20160524002116-00169-ip-10-185-217-139.ec2.internal.warc.gz,http://www.kieser-training.at/,625199464,11829,1,2016
CC-MAIN-2016-22,www.principia.pt,principia.pt,crawl-data/CC-MAIN-2016-22/segments/1464049277313.35/warc/CC-MAIN-20160524002117-00201-ip-10-185-217-139.ec2.internal.warc.gz,http://www.principia.pt/,746473458,10919,1,2016
CC-MAIN-2016-44,www.leoniblog.it,leoniblog.it,crawl-data/CC-MAIN-2016-44/segments/1476988718309.70/warc/CC-MAIN-20161020183838-00512-ip-10-171-6-4.ec2.internal.warc.gz,https://www.leoniblog.it/?fbconnect_action=myhome&userid=157,962741470,16330,1,2016
CC-MAIN-2016-50,www.praha-tip.cz,praha-tip.cz,crawl-data/CC-MAIN-2016-50/segments/1480698542687.37/warc/CC-MAIN-20161202170902-00232-ip-10-31-129-80.ec2.internal.warc.gz,http://www.praha-tip.cz/,648939781,10326,1,2016
CC-MAIN-2016-50,www.rainfall.ro,rainfall.ro,crawl-data/CC-MAIN-2016-50/segments/1480698543434.57/warc/CC-MAIN-20161202170903-00250-ip-10-31-129-80.ec2.internal.warc.gz,https://www.rainfall.ro/,995200849,14638,1,2016
CC-MAIN-2016-18,www.auto-internet.gr,auto-internet.gr,crawl-data/CC-MAIN-2016-18/segments/1461860117244.29/warc/CC-MAIN-20160428161517-00161-ip-10-239-7-51.ec2.internal.warc.gz,http://www.auto-internet.gr/,365678605,19061,1,2016
CC-MAIN-2016-30,www.narragonien.de,narragonien.de,crawl-data/CC-MAIN-2016-30/segments/1469257824570.25/warc/CC-MAIN-20160723071024-00126-ip-10-185-27-174.ec2.internal.warc.gz,http://www.narragonien.de/,605432223,3969,1,2016
CC-MAIN-2016-30,www.patmostimes.gr,patmostimes.gr,crawl-data/CC-MAIN-2016-30/segments/1469257824345.69/warc/CC-MAIN-20160723071024-00049-ip-10-185-27-174.ec2.internal.warc.gz,http://www.patmostimes.gr/,617979947,13751,1,2016
CC-MAIN-2016-07,www.fdm.dk,fdm.dk,crawl-data/CC-MAIN-2016-07/segments/1454701154682.35/warc/CC-MAIN-20160205193914-00107-ip-10-236-182-209.ec2.internal.warc.gz,http://www.fdm.dk/?utm_source=youngfdm.dk&utm_medium=web&utm_campaign=youngfdm/bilkoeb-den-nemme-guide,402799108,20505,1,2016
CC-MAIN-2016-07,www.celia.fi,celia.fi,crawl-data/CC-MAIN-2016-07/segments/1454701162648.4/warc/CC-MAIN-20160205193922-00042-ip-10-236-182-209.ec2.internal.warc.gz,http://www.celia.fi/,338286452,10964,1,2016
CC-MAIN-2016-22,www.travelicia.de,travelicia.de,crawl-data/CC-MAIN-2016-22/segments/1464049277286.54/warc/CC-MAIN-20160524002117-00044-ip-10-185-217-139.ec2.internal.warc.gz,https://www.travelicia.de/,1026506109,12901,1,2016
CC-MAIN-2016-40,www.campagne.arboineuropa.nl,arboineuropa.nl,crawl-data/CC-MAIN-2016-40/segments/1474738660214.50/warc/CC-MAIN-20160924173740-00232-ip-10-143-35-109.ec2.internal.warc.gz,http://www.campagne.arboineuropa.nl/,367084249,11296,1,2016
CC-MAIN-2016-30,www.brasseriesimon.lu,brasseriesimon.lu,crawl-data/CC-MAIN-2016-30/segments/1469257823947.97/warc/CC-MAIN-20160723071023-00285-ip-10-185-27-174.ec2.internal.warc.gz,http://www.brasseriesimon.lu/,332282540,9950,1,2016
CC-MAIN-2016-36,www.opteam.pl,opteam.pl,crawl-data/CC-MAIN-2016-36/segments/1471982295264.30/warc/CC-MAIN-20160823195815-00205-ip-10-153-172-175.ec2.internal.warc.gz,http://www.opteam.pl/,627545100,11395,1,2016
CC-MAIN-2016-50,www.one.ro,one.ro,crawl-data/CC-MAIN-2016-50/segments/1480698541517.94/warc/CC-MAIN-20161202170901-00290-ip-10-31-129-80.ec2.internal.warc.gz,http://www.one.ro/,623348154,22393,1,2016
CC-MAIN-2016-50,www.catavencii.ro,catavencii.ro,crawl-data/CC-MAIN-2016-50/segments/1480698540563.83/warc/CC-MAIN-20161202170900-00219-ip-10-31-129-80.ec2.internal.warc.gz,http://www.catavencii.ro/,383898039,24883,1,2016
CC-MAIN-2016-36,www.espritshop.pl,espritshop.pl,crawl-data/CC-MAIN-2016-36/segments/1471982292659.26/warc/CC-MAIN-20160823195812-00250-ip-10-153-172-175.ec2.internal.warc.gz,http://www.espritshop.pl/,443726121,24905,1,2016
CC-MAIN-2016-40,www.arcor.de,arcor.de,crawl-data/CC-MAIN-2016-40/segments/1474738661289.41/warc/CC-MAIN-20160924173741-00035-ip-10-143-35-109.ec2.internal.warc.gz,http://www.arcor.de/?force=nomobile,333641579,38053,1,2016
